Expression	Value	Location	Type	
sec	292	0x200061D8	unsigned int	
xmitTime	<array>	0x20006188	unsigned short[3]	
[0]	126	0x20006188	unsigned short	
[1]	30828	0x2000618A	unsigned short	
[2]	30828	0x2000618C	unsigned short	
receiveQueue	<array>	0x20003D88	Queue[3]	
[0]	<struct>	0x20003D88	Queue	
buf	<array>"XXXXXXXX?"	0x20003D88	char[2048]	
[0]	'X' (0x58)	0x20003D88	char	
[1]	'X' (0x58)	0x20003D89	char	
[2]	'X' (0x58)	0x20003D8A	char	
[3]	'X' (0x58)	0x20003D8B	char	
[4]	'X' (0x58)	0x20003D8C	char	
[5]	'X' (0x58)	0x20003D8D	char	
[6]	'X' (0x58)	0x20003D8E	char	
[7]	'X' (0x58)	0x20003D8F	char	
[8]	'?' (0xCA)	0x20003D90	char	
[9]	'4' (0x34)	0x20003D91	char	
[10]	'?' (0xC5)	0x20003D92	char	
[11]	'\0' (0x00)	0x20003D93	char	
[12]	'.' (0x01)	0x20003D94	char	
[13]	'\n' (0x0A)	0x20003D95	char	
[14]	'R' (0x52)	0x20003D96	char	
[15]	'B' (0x42)	0x20003D97	char	
[16]	'_' (0x5F)	0x20003D98	char	
[17]	'\n' (0x0A)	0x20003D99	char	
[18]	'\0' (0x00)	0x20003D9A	char	
[19]	'A' (0x41)	0x20003D9B	char	
[20]	'A' (0x41)	0x20003D9C	char	
[21]	'A' (0x41)	0x20003D9D	char	
[22]	'A' (0x41)	0x20003D9E	char	
[23]	'C' (0x43)	0x20003D9F	char	
[24]	'?' (0xCA)	0x20003DA0	char	
[25]	'"' (0x22)	0x20003DA1	char	
[26]	'?' (0xC5)	0x20003DA2	char	
[27]	'\0' (0x00)	0x20003DA3	char	
[28]	'.' (0x01)	0x20003DA4	char	
[29]	'.' (0x19)	0x20003DA5	char	
[30]	'O' (0x4F)	0x20003DA6	char	
[31]	'O' (0x4F)	0x20003DA7	char	
[32]	'O' (0x4F)	0x20003DA8	char	
[33]	'O' (0x4F)	0x20003DA9	char	
[34]	'O' (0x4F)	0x20003DAA	char	
[35]	'O' (0x4F)	0x20003DAB	char	
[36]	'O' (0x4F)	0x20003DAC	char	
[37]	'O' (0x4F)	0x20003DAD	char	
[38]	'O' (0x4F)	0x20003DAE	char	
[39]	'O' (0x4F)	0x20003DAF	char	
[40]	'O' (0x4F)	0x20003DB0	char	
[41]	'O' (0x4F)	0x20003DB1	char	
[42]	'O' (0x4F)	0x20003DB2	char	
[43]	'X' (0x58)	0x20003DB3	char	
[44]	'X' (0x58)	0x20003DB4	char	
[45]	'X' (0x58)	0x20003DB5	char	
[46]	'X' (0x58)	0x20003DB6	char	
[47]	'X' (0x58)	0x20003DB7	char	
[48]	'X' (0x58)	0x20003DB8	char	
[49]	'X' (0x58)	0x20003DB9	char	
[50]	'X' (0x58)	0x20003DBA	char	
[51]	'X' (0x58)	0x20003DBB	char	
[52]	'X' (0x58)	0x20003DBC	char	
[53]	'X' (0x58)	0x20003DBD	char	
[54]	'X' (0x58)	0x20003DBE	char	
[55]	'?' (0xCA)	0x20003DBF	char	
[56]	'4' (0x34)	0x20003DC0	char	
[57]	'?' (0xC5)	0x20003DC1	char	
[58]	'\0' (0x00)	0x20003DC2	char	
